Date,Forecasted_Production
1976-01-01,592.4063565910228
1976-02-01,608.6129166904026
1976-03-01,604.7673391034424
1976-04-01,602.7665379616806
1976-05-01,604.1294576049442
1976-06-01,604.1057016636983
1976-07-01,603.8460899346825
1976-08-01,603.9298874109969
1976-09-01,603.9551715192624
1976-10-01,603.9310561149424
1976-11-01,603.9334574992006
1976-12-01,603.9374471013999
1977-01-01,603.935760635851
1977-02-01,603.9354936301028
1977-03-01,603.9359052334363
1977-04-01,603.9358320291961
1977-05-01,603.9357737562661
1977-06-01,603.9358058546487
1977-07-01,603.9358074786205
1977-08-01,603.9358006987997
1977-09-01,603.9358024477532
1977-10-01,603.935803242022
1977-11-01,603.9358026574405
1977-12-01,603.9358026801435
