Date,Actual,Forecast
1964-01-01,628,592.4063565910228
1964-02-01,618,608.6129166904026
1964-03-01,688,604.7673391034424
1964-04-01,705,602.7665379616806
1964-05-01,770,604.1294576049442
1964-06-01,736,604.1057016636983
1964-07-01,678,603.8460899346825
1964-08-01,639,603.9298874109969
1964-09-01,604,603.9551715192624
1964-10-01,611,603.9310561149424
1964-11-01,594,603.9334574992006
1964-12-01,634,603.9374471013999
1965-01-01,658,603.935760635851
1965-02-01,622,603.9354936301028
1965-03-01,709,603.9359052334363
1965-04-01,722,603.9358320291961
1965-05-01,782,603.9357737562661
1965-06-01,756,603.9358058546487
1965-07-01,702,603.9358074786205
1965-08-01,653,603.9358006987997
1965-09-01,615,603.9358024477532
1965-10-01,621,603.935803242022
1965-11-01,602,603.9358026574405
1965-12-01,635,603.9358026801435
1966-01-01,677,603.9358027876808
1966-02-01,635,603.9358027504514
1966-03-01,736,603.935802740746
1966-04-01,755,603.9358027509942
1966-05-01,811,603.9358027497701
1966-06-01,798,603.9358027481367
1966-07-01,735,603.9358027488743
1966-08-01,697,603.9358027489692
1966-09-01,661,603.9358027487958
1966-10-01,667,603.93580274883
1966-11-01,645,603.9358027488536
1966-12-01,688,603.9358027488397
1967-01-01,713,603.9358027488394
1967-02-01,667,603.9358027488422
1967-03-01,762,603.9358027488414
1967-04-01,784,603.9358027488411
1967-05-01,837,603.9358027488413
1967-06-01,817,603.9358027488413
1967-07-01,767,603.9358027488413
1967-08-01,722,603.9358027488413
1967-09-01,681,603.9358027488413
1967-10-01,687,603.9358027488413
1967-11-01,660,603.9358027488413
1967-12-01,698,603.9358027488413
1968-01-01,717,603.9358027488413
1968-02-01,696,603.9358027488413
1968-03-01,775,603.9358027488413
1968-04-01,796,603.9358027488413
1968-05-01,858,603.9358027488413
1968-06-01,826,603.9358027488413
1968-07-01,783,603.9358027488413
1968-08-01,740,603.9358027488413
1968-09-01,701,603.9358027488413
1968-10-01,706,603.9358027488413
1968-11-01,677,603.9358027488413
1968-12-01,711,603.9358027488413
1969-01-01,734,603.9358027488413
1969-02-01,690,603.9358027488413
1969-03-01,785,603.9358027488413
1969-04-01,805,603.9358027488413
1969-05-01,871,603.9358027488413
1969-06-01,845,603.9358027488413
1969-07-01,801,603.9358027488413
1969-08-01,764,603.9358027488413
1969-09-01,725,603.9358027488413
1969-10-01,723,603.9358027488413
1969-11-01,690,603.9358027488413
1969-12-01,734,603.9358027488413
1970-01-01,750,603.9358027488413
1970-02-01,707,603.9358027488413
1970-03-01,807,603.9358027488413
1970-04-01,824,603.9358027488413
1970-05-01,886,603.9358027488413
1970-06-01,859,603.9358027488413
1970-07-01,819,603.9358027488413
1970-08-01,783,603.9358027488413
1970-09-01,740,603.9358027488413
1970-10-01,747,603.9358027488413
1970-11-01,711,603.9358027488413
1970-12-01,751,603.9358027488413
1971-01-01,804,603.9358027488413
1971-02-01,756,603.9358027488413
1971-03-01,860,603.9358027488413
1971-04-01,878,603.9358027488413
1971-05-01,942,603.9358027488413
1971-06-01,913,603.9358027488413
1971-07-01,869,603.9358027488413
1971-08-01,834,603.9358027488413
1971-09-01,790,603.9358027488413
1971-10-01,800,603.9358027488413
1971-11-01,763,603.9358027488413
1971-12-01,800,603.9358027488413
1972-01-01,826,603.9358027488413
1972-02-01,799,603.9358027488413
1972-03-01,890,603.9358027488413
1972-04-01,900,603.9358027488413
1972-05-01,961,603.9358027488413
1972-06-01,935,603.9358027488413
1972-07-01,894,603.9358027488413
1972-08-01,855,603.9358027488413
1972-09-01,809,603.9358027488413
1972-10-01,810,603.9358027488413
1972-11-01,766,603.9358027488413
1972-12-01,805,603.9358027488413
1973-01-01,821,603.9358027488413
1973-02-01,773,603.9358027488413
1973-03-01,883,603.9358027488413
1973-04-01,898,603.9358027488413
1973-05-01,957,603.9358027488413
1973-06-01,924,603.9358027488413
1973-07-01,881,603.9358027488413
1973-08-01,837,603.9358027488413
1973-09-01,784,603.9358027488413
1973-10-01,791,603.9358027488413
1973-11-01,760,603.9358027488413
1973-12-01,802,603.9358027488413
1974-01-01,828,603.9358027488413
1974-02-01,778,603.9358027488413
1974-03-01,889,603.9358027488413
1974-04-01,902,603.9358027488413
1974-05-01,969,603.9358027488413
1974-06-01,947,603.9358027488413
1974-07-01,908,603.9358027488413
1974-08-01,867,603.9358027488413
1974-09-01,815,603.9358027488413
1974-10-01,812,603.9358027488413
1974-11-01,773,603.9358027488413
1974-12-01,813,603.9358027488413
1975-01-01,834,603.9358027488413
1975-02-01,782,603.9358027488413
1975-03-01,892,603.9358027488413
1975-04-01,903,603.9358027488413
1975-05-01,966,603.9358027488413
1975-06-01,937,603.9358027488413
1975-07-01,896,603.9358027488413
1975-08-01,858,603.9358027488413
1975-09-01,817,603.9358027488413
1975-10-01,827,603.9358027488413
1975-11-01,797,603.9358027488413
1975-12-01,843,603.9358027488413
